,MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CONG_DIST_CD,COMPANY_TYPE,CURRENT_CONTROLLER_BEGIN_DT,DISTRICT,OFFICE_CD,OFFICE_NAME,ASSESS_CTRL_NO,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,CURRENT_103I,CURRENT_103I_DT,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,LONGITUDE,LATITUDE,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,MILES_FROM_OFFICE,DIRECTIONS_TO_MINE,NEAREST_TOWN
1890,102918,Har Gal Mining,M,Surface,Abandoned,10/23/2012,M34037,Terrence  Gallagher,L34037,Har Gal Mining Partnership,AL,1,29,Cleburne,3.0,Partnership,06/01/1991,M3,M3661,Birmingham AL Field Office,000283611,104100.0,Gold Ore,1041.0,0.0,109905.0,Platinum Group Ore,1099.0,5.0,8.0,Metal,8.0,Metal,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,85.463888,33.923611,,,,,,0.0,N,N,N,N,N,83,Take I-65N to Gadsden Exit 182 to I-759-Left on George Wallace Dr. - Right on Meighan Blvd - Left on Piedmont Cutoff - Left on Vigo Rd. - Right on CR 230- Right on CR 49 - Dirt road on left. Mailbox 37270 CR 49.,Piedmont
2400,103447,10:16/Roeser Mine,M,Surface,Abandoned,02/01/2012,0102979,Roy Douglas  Pugh; William B  Cashion,0121092,10:16 Mining Corporation,AL,1,21,Chilton,,Corporation,01/26/2012,M3,M3661,Birmingham AL Field Office,000291699,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,86.52,32.782777,,,,,,0.0,N,N,N,N,N,70,"I-65S to Exit 200, left toward Verbena, go approx. 2 miles, the right on Hwy. 31S. Go approx. 1.5 - 2 miles, then left on CR23; .8 mile to left on CR 530; 2.3 miles, left at Y; .7 miles left at Y; .6 miles mine entrance on right. Office approx. .3 miles on right.",Verbena
2410,103458,"Southern USA Resources, Inc.",M,Surface,Abandoned,04/15/2013,0109321,Charles H.  Merchant,0128554,Southern USA Resources,AL,1,27,Clay,,Corporation,02/20/2013,M3,M3661,Birmingham AL Field Office,000326031,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,85.869166,33.315833000000005,,,,,,0.0,N,N,N,N,N,80,"Hwy. 280E. to Hwy. 21N in Sylacauga, Turn right on Hwy. 148 (3rd St.) follow to Hwy. 9, turn left.  In Ashland turn left on CR. 31 North, go approx. 4 miles, turn left on Mountian View Rd. Go .9 miles turn left on Dirt Rd. Mine at end.","Ashland, AL"
2670,201470,Black Diamond Mill,M,Facility,Abandoned,02/23/1983,M02906,Cordyne Corp,L03620,Cema,AZ,2,3,Cochise,5.0,Other,08/01/1979,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2673,201487,Old Eagle (Mine),M,Underground,Abandoned,07/29/1980,M30473,Arizona Mines Development Inc & Arizona Western Mi,L30473,Arizona Mines Development Inc,AZ,2,21,Pinal,2.0,Other,01/01/1950,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2680,201517,P And J Mine,M,Surface,Abandoned,08/08/1978,M36992,P & J Mining Company,L36992,P & J Mining Company,AZ,2,13,Maricopa,1.0,Other,01/01/1950,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2706,201628,Cave Mine,M,Underground,Abandoned,09/13/1978,M33676,Gold Cave Mining & Development Co,L33676,Gold Cave Mining & Development Co,AZ,2,3,Cochise,5.0,Other,01/01/1950,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2709,201633,Hillside Mine,M,Surface,Abandoned,02/27/1980,M34275,Hillside Mining Company,L34275,Hillside Mining Company,AZ,2,13,Maricopa,1.0,Other,01/01/1950,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2726,201705,Swastica Mine,M,Surface,Abandoned,11/15/1979,M34488,Index Mining Ltd,L34488,Index Mining Ltd,AZ,2,25,Yavapai,3.0,Other,01/01/1950,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2733,201734,Congress Consolidated Gold Mining Corp L,M,Surface,Abandoned,05/13/1982,M04717,O Connor Wm J,L03272,Congress Consolidated Gold Mining Corp Ltd,AZ,2,25,Yavapai,3.0,Other,01/01/1950,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2742,201756,Fayro No 1,M,Surface,Abandoned,04/30/1980,M33196,Roberts Paul L,L33196,Fayro Mining Company,AZ,2,15,Mohave,3.0,Other,01/01/1950,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2764,201810,Lost Basin Mine,M,Surface,Abandoned,03/27/1980,M35722,Lost Basin Management Company,L35722,Lost Basin Management Company,AZ,2,15,Mohave,3.0,Other,01/01/1950,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2787,201855,Pope Mine,M,Surface,Abandoned,02/01/1979,M03591,Scarth Robert W,L04456,Pope Mining Inc,AZ,2,15,Mohave,3.0,Other,01/01/1950,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2797,201866,Jack Pot Mill,M,Facility,Abandoned,03/22/1979,M02643,Burt Leon,L03294,L & B Partners,AZ,2,27,Yuma,2.0,Other,05/17/1979,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
