idz,MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CONG_DIST_CD,COMPANY_TYPE,CURRENT_CONTROLLER_BEGIN_DT,DISTRICT,OFFICE_CD,OFFICE_NAME,ASSESS_CTRL_NO,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,CURRENT_103I,CURRENT_103I_DT,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,LONGITUDE,LATITUDE,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,MILES_FROM_OFFICE,DIRECTIONS_TO_MINE,NEAREST_TOWN,lon
53290,3503804,Summit,M,Underground,Abandoned,12/03/2013,111121,Willis K  Beach,130593,Willis K. Beach,OR,35,33,Josephine,,Sole Proprietor,11/18/2013,M7,M7651,Albany OR Field Office,341488,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,,,,,N,123.305833,24.669444,,,,,,0,N,N,N,N,N,170,"From Golden, OR follow Coyote Cr. Rd. 2.6 miles, veer R at Y, 33-5-27, take immediate R, 33-5-21, follow to a T, turn L, go 1/3 mile to mine on R.",Golden,-123.305833
44387,2902357,Banner Mill Site,M,Facility,NonProducing,03/10/2014,M12821,Santa Fe Gold Corporation,88024,Lordsburg Mining Company,NM,29,23,Hidalgo,,Corporation,02/28/2008,M5,M5641,Albuquerque NM Field Office,329783,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,,,N,,0,0,0,0,0,N,108.739722,32.311389,,,,,,0,N,N,N,N,N,210,"Old Banner Mill site approx. 3 mi. south of Lordsburg, NM at the end of Main Street pavement.",Lordsburg,-108.739722
2400,103447,10:16/Roeser Mine,M,Surface,Abandoned,02/01/2012,102979,Roy Douglas  Pugh; William B  Cashion,121092,10:16 Mining Corporation,AL,1,21,Chilton,,Corporation,01/26/2012,M3,M3661,Birmingham AL Field Office,291699,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,86.52,32.782777,,,,,,0,N,N,N,N,N,70,"I-65S to Exit 200, left toward Verbena, go approx. 2 miles, the right on Hwy. 31S. Go approx. 1.5 - 2 miles, then left on CR23; .8 mile to left on CR 530; 2.3 miles, left at Y; .7 miles left at Y; .6 miles mine entrance on right. Office approx. .3 miles on right.",Verbena,-86.52
44386,2902356,Summit Mine Site,M,Underground,NonProducing,03/07/2014,M12821,Santa Fe Gold Corporation,88024,Lordsburg Mining Company,NM,29,17,Grant,,Corporation,02/28/2008,M5,M5641,Albuquerque NM Field Office,338934,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,Never Had 103I Status,,N,,0,0,0,0,0,N,108.969167,32.872778,,VI,,,,0,N,N,N,N,N,450,"From Duncan, AZ, proceed approx. 17 miles easterly on Carlisle Rd. across NM State line to Summit Peak Road in Grant Co., NM and the Summit Mine Site.","Duncan , AZ",-108.969167
44429,2902399,Billali Mine,M,Underground,Abandoned,11/01/2013,M06687,Earl D  Harrison; Laraine  Griesel,120108,White Pine Mining LLC,NM,29,17,Grant,,Other,07/22/2012,M5,M5641,Albuquerque NM Field Office,318942,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,Never Had 103I Status,,N,,0,0,0,0,0,N,108.983888,32.885,,,,,,0,N,N,N,N,N,360,"Take MH Hwy 75 north 10 mi. to Bitter Creek Rd, then take Bitter Creek Rd 14 mi. to mine.",Bitter Creek,-108.983888
2410,103458,"Southern USA Resources, Inc.",M,Surface,Abandoned,04/15/2013,109321,Charles H.  Merchant,128554,Southern USA Resources,AL,1,27,Clay,,Corporation,02/20/2013,M3,M3661,Birmingham AL Field Office,326031,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,85.869166,33.315833,,,,,,0,N,N,N,N,N,80,"Hwy. 280E. to Hwy. 21N in Sylacauga, Turn right on Hwy. 148 (3rd St.) follow to Hwy. 9, turn left.  In Ashland turn left on CR. 31 North, go approx. 4 miles, turn left on Mountian View Rd. Go .9 miles turn left on Dirt Rd. Mine at end.","Ashland, AL",-85.869166
4140,203246,The Old Wasp Mine,M,Surface,Active,10/06/2011,109821,Jan  Ross,129153,Apache Mining Services LLC,AZ,2,21,Pinal,,Other,06/21/2013,M6,M6861,Mesa North AZ Field Office,339995,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,,,N,,5,8,1,0,2,N,111.488611,33.455,,,,,,0,N,N,N,N,N,20,take 60 W to Hwy 88 N. Go approx 5 miles. Big yellow sign on left just past gold field ghost town.,Apache Junction,-111.488611
4126,203232,Fancher,M,Underground,Abandoned,07/02/2013,82953,James W  Clark,98365,Luxcor Gold LP,AZ,2,13,Maricopa,,Partnership,02/24/2009,M6,M6862,Mesa South AZ Field Office,281326,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,Y,4,0,,,,,N,114.23,33.663888,,,,,,0,N,N,N,N,N,35,Portable,Avondale,-114.23
4153,203261,Gold Rock,M,Surface,Abandoned,03/22/2011,91253,Concept Reality LLC; Douglas A  Farley,107826,Plomosa Placers,AZ,2,12,La Paz,,Other,02/19/2010,M6,M6861,Mesa North AZ Field Office,,104100,Gold Ore,1041,0,,,,,8,Metal,,,,,N,,0,,,,,N,114.065,33.674722,,,,,,0,N,N,N,N,N,125,I-10 to gold nugget rd. south on gold nugget rd. up italian wash 1/4 mile noth of Dos Picochos mt. T 3N R 18W SW 1/4 S 1,Quartzsite,-114.065
3907,203000,Copperstone Mine,M,Underground,NonProducing,01/29/2014,53149,American Bonanza Gold Corporation,63543,Bonanza Explorations Inc.,AZ,2,12,La Paz,,Corporation,06/08/2005,M6,M6861,Mesa North AZ Field Office,346316,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,7,,,0,70,N,114.284722,33.875556,,VI,,,,2,N,N,N,N,N,90,11 miles north of Quartzite  - mile marker 121.5 RR 95,Quartzite,-114.284722
1890,102918,Har Gal Mining,M,Surface,Abandoned,10/23/2012,M34037,Terrence  Gallagher,L34037,Har Gal Mining Partnership,AL,1,29,Cleburne,3,Partnership,06/01/1991,M3,M3661,Birmingham AL Field Office,283611,104100,Gold Ore,1041,0,109905,Platinum Group Ore,1099,5,8,Metal,8,Metal,Never Had 103I Status,,N,,0,0,0,0,0,N,85.463888,33.923611,,,,,,0,N,N,N,N,N,83,Take I-65N to Gadsden Exit 182 to I-759-Left on George Wallace Dr. - Right on Meighan Blvd - Left on Piedmont Cutoff - Left on Vigo Rd. - Right on CR 230- Right on CR 49 - Dirt road on left. Mailbox 37270 CR 49.,Piedmont,-85.463888
59752,3800723,Candy Branch,M,Surface,Abandoned,10/21/2013,81053,Robert Andrew  Price,96125,Confederate Mining Company,SC,38,1,Abbeville,,Corporation,06/24/2008,M3,M3851,Columbia SC Field Office,335272,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,82.344444,34.069444,,,,,,0,N,N,N,N,N,95,Take Hwy 378 towards Mccormic turn right onto SC-28 then right onto Candy branch and then right onto Gable Road ,Abbeville,-82.344444
4176,203285,Brinkley Mine,M,Surface,Abandoned,04/30/2012,100671,Lawrence  Martinie; Brian  Langenbach Sr,121772,"MINERAL CONSULTANTS AND DEVELOPMENT,INC",AZ,2,25,Yavapai,,Corporation,01/01/2012,M6,M6861,Mesa North AZ Field Office,263766,104100,Gold Ore,1041,0,,,,,8,Metal,,,,,N,,0,,,,,N,112.716666,34.146944,,,,,,0,N,N,N,N,N,130,From the intersection of highway 89A and highway 71 continue northeast on highway 89A 2.5 miles to Stanton Road and take a right turn on Stanton Road. Continue on Stanton Road for 6 miles which then road turns into South Octave road. Continue about 1.5 miles to 27050 South Octave road on the right hand side of the road just pass the cattle guard. The address is posted.,Congress,-112.716666
4177,203286,Alvarado Mine,M,Surface,Abandoned,10/23/2013,100767,Lawrence  Martinie,118749,Southwest Exploration Research & Development LLC,AZ,2,25,Yavapai,,Other,06/28/2011,M6,M6861,Mesa North AZ Field Office,262927,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,,,,,N,112.850833,34.1625,,,,,,0,N,N,N,N,N,130,From the intersection of highway 89A and highway 71 continue northeast on highway 89A 2.5 miles to Stanton Road and take a right turn on Stanton Road. Continue on Stanton Road for 2.5 miles and take a left on Parker Dairy road. Go through the Parker dairy through the access gate and continue down the road to the Alvarado Mine.,Congress,-112.850833
6914,405252,Gold Mountain Mine,M,Surface,Abandoned,10/01/2011,M10768,Gregory  Paul,L14091,Gold Mountain Mine,CA,4,71,San Bernardino,,Sole Proprietor,11/01/1994,M7,M7831,San Bernardino CA Field Office,127073,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,116.915277,34.282222,,,,,,0,N,N,N,N,N,50,10Fwy Alabama-Lugonia- Hwy 38 to Big Bear to Land Fill Section 36 T3N R1E,BIG BEAR,-116.915277
7455,405837,Red Rover Mine,M,Underground,Abandoned,08/31/2012,103293,David  Zhou; James P  Whol,121590,"Red Rover Mine 2, LLC",CA,4,37,Los Angeles,,Other,02/23/2012,M7,M7831,San Bernardino CA Field Office,321099,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,118.215833,34.496666,,,,,,0,N,N,N,N,N,95,"Take 14fwy going North and exit Red Rover Mine Rd, go to Sierra hwy make a right, we are at the corner of Red Rover Mine Rd and Sierra Hwy",Acton,-118.215833
59633,3800600,Haile Gold Mine,M,Surface,Active,11/29/2011,71291,Romarco Minerals Inc,84524,Haile Gold Mine Inc,SC,38,57,Lancaster,5,Corporation,10/17/2007,M3,M3851,Columbia SC Field Office,344880,104100,Gold Ore,1041,0,,,,,8,Metal,,,,,N,,7,12,2,0,55,N,80.521388,34.580833,,,,,,2,N,N,N,N,N,60,From Kershaw take Hwy 601 North.  Go approximately 3 miles.  Turn right on Haile Gold Mine Road.  Go 1 mile to entrance road on left side of road - follow to mine.,Kershaw,-80.521388
